,filename,task,expected_text,grade,score,fold
0,hgxrel.wav,deletion,old,KG,0.0,0
1,ltbona.wav,sentence_repetition,he wouldnt go with his sister because he was tired,KG,0.0,0
2,bfaiol.wav,nonword_repetition,chav,KG,1.0,0
3,ktvyww.wav,sentence_repetition,ring the bell on the desk to get her attention,2,1.0,0
4,htfbnp.wav,blending,kite,KG,1.0,0
5,czfqjg.wav,nonword_repetition,koovnorb,1,1.0,0
6,atqhsc.wav,nonword_repetition,voimkooheefgahyp,1,0.0,0
7,mxvygo.wav,sentence_repetition,play with your friends when you are at their house,KG,0.0,0
8,aqncgk.wav,nonword_repetition,gahyf,KG,1.0,0
9,fprljz.wav,deletion,eat,KG,1.0,0
10,idjpne.wav,blending,feet,KG,1.0,0
11,ciabfm.wav,nonword_repetition,goomdachahytowb,1,1.0,0
12,jckgao.wav,blending,knife,KG,0.0,0
13,gyguoc.wav,deletion,tell,KG,1.0,0
14,buajpo.wav,nonword_repetition,goomdachahytowb,1,0.0,0
15,fbidws.wav,deletion,bee,KG,1.0,0
16,gezxom.wav,deletion,tell,KG,0.0,0
17,kdnrhd.wav,sentence_repetition,go ask the teacher if our group is going to write the letters,2,0.0,0
18,mmdqea.wav,sentence_repetition,the small truck was hit by the car that was going too fast,KG,0.0,0
19,hbyheg.wav,deletion,so,KG,0.0,0
20,caqlmg.wav,nonword_repetition,geemferbowvkervoog,1,0.0,0
21,ivffzv.wav,blending,backpack,KG,1.0,0
22,fkrxex.wav,deletion,bee,KG,1.0,0
23,jsnbhp.wav,blending,eyelash,KG,1.0,0
24,ehpnuh.wav,nonword_repetition,boovteypahygfuhdap,1,0.0,0
25,lnxfzi.wav,sentence_repetition,those five fluffy sheep belong to our neighbor across the street,2,0.0,0
26,ahjaoe.wav,nonword_repetition,koofpergoibneek,1,0.0,0
27,judywx.wav,blending,rabbit,KG,1.0,0
28,ifgeod.wav,blending,face,KG,0.0,0
29,dvzqqu.wav,nonword_repetition,vohp,KG,1.0,0
30,jylomh.wav,sentence_repetition,the children can play but they need to be quiet,1,1.0,0
31,gyusmk.wav,deletion,it,KG,1.0,0
32,ctwccb.wav,nonword_repetition,tohfpeeg,KG,1.0,0
33,bmvgtg.wav,nonword_repetition,huhvohkdooteyf,KG,0.0,0
34,kzrptf.wav,sentence_repetition,could we swim in the pool all day today instead of working in the yard,2,1.0,0
35,gvojsq.wav,deletion,bee,KG,0.0,0
36,juztdq.wav,blending,mud,KG,0.0,0
37,cnkcuy.wav,nonword_repetition,nohfteyg,1,1.0,0
38,kawptg.wav,sentence_repetition,go ask the teacher if our group is going to write the letters,2,0.0,0
39,kdnxkt.wav,sentence_repetition,the old jacket has a weird smell,KG,1.0,0
40,gjgkac.wav,deletion,bed,KG,1.0,0
41,liwstx.wav,sentence_repetition,the two cats who chased the dog jumped through the round hoop,2,1.0,0
42,emsfbt.wav,deletion,cream,KG,1.0,0
